Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","024","Angola","71761","Emissions intensity","21121","Meat of chickens, fresh or chilled","2022","2022","kg CO2eq/kg","0.4867","E","Estimated value"
"EI","Emissions intensities","024","Angola","723113","Emissions (CO2eq) (AR5)","21121","Meat of chickens, fresh or chilled","2022","2022","kt","28.4883","E","Estimated value"
"EI","Emissions intensities","024","Angola","5510","Production","21121","Meat of chickens, fresh or chilled","2022","2022","t","58532.79","I","Imputed value"
"EI","Emissions intensities","024","Angola","71761","Emissions intensity","0231","Hen eggs in shell, fresh","2022","2022","kg CO2eq/kg","1.6005","E","Estimated value"
"EI","Emissions intensities","024","Angola","723113","Emissions (CO2eq) (AR5)","0231","Hen eggs in shell, fresh","2022","2022","kt","228.4908","E","Estimated value"
"EI","Emissions intensities","024","Angola","5510","Production","0231","Hen eggs in shell, fresh","2022","2022","t","142758.68","E","Estimated value"
"EI","Emissions intensities","024","Angola","71761","Emissions intensity","21113.01","Meat of pig with the bone, fresh or chilled","2022","2022","kg CO2eq/kg","5.3826","E","Estimated value"
"EI","Emissions intensities","024","Angola","723113","Emissions (CO2eq) (AR5)","21113.01","Meat of pig with the bone, fresh or chilled","2022","2022","kt","910.708","E","Estimated value"
"EI","Emissions intensities","024","Angola","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","2022","2022","t","169195.83","I","Imputed value"
"EI","Emissions intensities","028","Antigua and Barbuda","71761","Emissions intensity","F1718","Cereals excluding rice","2022","2022","kg CO2eq/kg","0.1365","E","Estimated value"
"EI","Emissions intensities","028","Antigua and Barbuda","723113","Emissions (CO2eq) (AR5)","F1718","Cereals excluding rice","2022","2022","kt","0.0021","E","Estimated value"
"EI","Emissions intensities","028","Antigua and Barbuda","5510","Production","F1718","Cereals excluding rice","2022","2022","t","15.74","E","Estimated value"
"EI","Emissions intensities","028","Antigua and Barbuda","71761","Emissions intensity","21111.01","Meat of cattle with the bone, fresh or chilled","2022","2022","kg CO2eq/kg","37.8079","E","Estimated value"
"EI","Emissions intensities","028","Antigua and Barbuda","723113","Emissions (CO2eq) (AR5)","21111.01","Meat of cattle with the bone, fresh or chilled","2022","2022","kt","2.3698","E","Estimated value"
"EI","Emissions intensities","028","Antigua and Barbuda","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2022","2022","t","62.68","A","Official figure"
"EI","Emissions intensities","028","Antigua and Barbuda","71761","Emissions intensity","02211","Raw milk of cattle","2022","2022","kg CO2eq/kg","2.675","E","Estimated value"
"EI","Emissions intensities","028","Antigua and Barbuda","723113","Emissions (CO2eq) (AR5)","02211","Raw milk of cattle","2022","2022","kt","5.2701","E","Estimated value"
"EI","Emissions intensities","028","Antigua and Barbuda","5510","Production","02211","Raw milk of cattle","2022","2022","t","1970.14","I","Imputed value"
"EI","Emissions intensities","028","Antigua and Barbuda","71761","Emissions intensity","21116","Meat of goat, fresh or chilled","2022","2022","kg CO2eq/kg","1937.5285","E","Estimated value"
"EI","Emissions intensities","028","Antigua and Barbuda","723113","Emissions (CO2eq) (AR5)","21116","Meat of goat, fresh or chilled","2022","2022","kt","5.0957","E","Estimated value"
"EI","Emissions intensities","028","Antigua and Barbuda","5510","Production","21116","Meat of goat, fresh or chilled","2022","2022","t","2.63","A","Official figure"
"EI","Emissions intensities","028","Antigua and Barbuda","71761","Emissions intensity","21115","Meat of sheep, fresh or chilled","2022","2022","kg CO2eq/kg","493.8292","E","Estimated value"
"EI","Emissions intensities","028","Antigua and Barbuda","723113","Emissions (CO2eq) (AR5)","21115","Meat of sheep, fresh or chilled","2022","2022","kt","1.7926","E","Estimated value"
"EI","Emissions intensities","028","Antigua and Barbuda","5510","Production","21115","Meat of sheep, fresh or chilled","2022","2022","t","3.63","A","Official figure"
"EI","Emissions intensities","028","Antigua and Barbuda","71761","Emissions intensity","21121","Meat of chickens, fresh or chilled","2022","2022","kg CO2eq/kg","0","E","Estimated value"
"EI","Emissions intensities","028","Antigua and Barbuda","723113","Emissions (CO2eq) (AR5)","21121","Meat of chickens, fresh or chilled","2022","2022","kt","0","E","Estimated value"
"EI","Emissions intensities","028","Antigua and Barbuda","5510","Production","21121","Meat of chickens, fresh or chilled","2022","2022","t","88.31","I","Imputed value"
"EI","Emissions intensities","028","Antigua and Barbuda","71761","Emissions intensity","0231","Hen eggs in shell, fresh","2022","2022","kg CO2eq/kg","0.7547","E","Estimated value"
"EI","Emissions intensities","028","Antigua and Barbuda","723113","Emissions (CO2eq) (AR5)","0231","Hen eggs in shell, fresh","2022","2022","kt","0.8581","E","Estimated value"
"EI","Emissions intensities","028","Antigua and Barbuda","5510","Production","0231","Hen eggs in shell, fresh","2022","2022","t","1137.07","A","Official figure"
"EI","Emissions intensities","028","Antigua and Barbuda","71761","Emissions intensity","21113.01","Meat of pig with the bone, fresh or chilled","2022","2022","kg CO2eq/kg","23.8519","E","Estimated value"
"EI","Emissions intensities","028","Antigua and Barbuda","723113","Emissions (CO2eq) (AR5)","21113.01","Meat of pig with the bone, fresh or chilled","2022","2022","kt","1.3016","E","Estimated value"
"EI","Emissions intensities","028","Antigua and Barbuda","5510","Production","21113.01","Meat of pig with the bone, fresh or chilled","2022","2022","t","54.57","A","Official figure"
"EI","Emissions intensities","032","Argentina","71761","Emissions intensity","F1718","Cereals excluding rice","2022","2022","kg CO2eq/kg","0.1283","E","Estimated value"
"EI","Emissions intensities","032","Argentina","723113","Emissions (CO2eq) (AR5)","F1718","Cereals excluding rice","2022","2022","kt","11585.7617","E","Estimated value"
"EI","Emissions intensities","032","Argentina","5510","Production","F1718","Cereals excluding rice","2022","2022","t","90308520","E","Estimated value"
"EI","Emissions intensities","032","Argentina","71761","Emissions intensity","0113","Rice","2022","2022","kg CO2eq/kg","1.3946","E","Estimated value"
"EI","Emissions intensities","032","Argentina","723113","Emissions (CO2eq) (AR5)","0113","Rice","2022","2022","kt","1704.8252","E","Estimated value"
"EI","Emissions intensities","032","Argentina","5510","Production","0113","Rice","2022","2022","t","1222426","A","Official figure"
"EI","Emissions intensities","032","Argentina","71761","Emissions intensity","21111.01","Meat of cattle with the bone, fresh or chilled","2022","2022","kg CO2eq/kg","33.6256","E","Estimated value"
"EI","Emissions intensities","032","Argentina","723113","Emissions (CO2eq) (AR5)","21111.01","Meat of cattle with the bone, fresh or chilled","2022","2022","kt","105352.5549","E","Estimated value"
"EI","Emissions intensities","032","Argentina","5510","Production","21111.01","Meat of cattle with the bone, fresh or chilled","2022","2022","t","3133103","A","Official figure"
"EI","Emissions intensities","032","Argentina","71761","Emissions intensity","02211","Raw milk of cattle","2022","2022","kg CO2eq/kg","0.3313","E","Estimated value"
"EI","Emissions intensities","032","Argentina","723113","Emissions (CO2eq) (AR5)","02211","Raw milk of cattle","2022","2022","kt","3943.6686","E","Estimated value"
"EI","Emissions intensities","032","Argentina","5510","Production","02211","Raw milk of cattle","2022","2022","t","11904142","A","Official figure"
"EI","Emissions intensities","032","Argentina","71761","Emissions intensity","21116","Meat of goat, fresh or chilled","2022","2022","kg CO2eq/kg","160.6844","E","Estimated value"
"EI","Emissions intensities","032","Argentina","723113","Emissions (CO2eq) (AR5)","21116","Meat of goat, fresh or chilled","2022","2022","kt","964.8102","E","Estimated value"
"EI","Emissions intensities","032","Argentina","5510","Production","21116","Meat of goat, fresh or chilled","2022","2022","t","6004.38","I","Imputed value"
"EI","Emissions intensities","032","Argentina","71761","Emissions intensity","21115","Meat of sheep, fresh or chilled","2022","2022","kg CO2eq/kg","65.4089","E","Estimated value"
"EI","Emissions intensities","032","Argentina","723113","Emissions (CO2eq) (AR5)","21115","Meat of sheep, fresh or chilled","2022","2022","kt","2677.8032","E","Estimated value"
"EI","Emissions intensities","032","Argentina","5510","Production","21115","Meat of sheep, fresh or chilled","2022","2022","t","40939.41","I","Imputed value"
"EI","Emissions intensities","032","Argentina","71761","Emissions intensity","21121","Meat of chickens, fresh or chilled","2022","2022","kg CO2eq/kg","0.1045","E","Estimated value"
"EI","Emissions intensities","032","Argentina","723113","Emissions (CO2eq) (AR5)","21121","Meat of chickens, fresh or chilled","2022","2022","kt","242.3588","E","Estimated value"
"EI","Emissions intensities","032","Argentina","5510","Production","21121","Meat of chickens, fresh or chilled","2022","2022","t","2319000","A","Official figure"
"EI","Emissions intensities","032","Argentina","71761","Emissions intensity","0231","Hen eggs in shell, fresh","2022","2022","kg CO2eq/kg","0.325","E","Estimated value"
"EI","Emissions intensities","032","Argentina","723113","Emissions (CO2eq) (AR5)","0231","Hen eggs in shell, fresh","2022","2022","kt","273.299","E","Estimated value"
"EI","Emissions intensities","032","Argentina","5510","Production","0231","Hen eggs in shell, fresh","2022","2022","t","841037.94","E","Estimated value"
"EI","Emissions intensities","032","Argentina","71761","Emissions intensity","21113.01","Meat of pig with the bone, fresh or chilled","2022","2022","kg CO2eq/kg","1.6306","E","Estimated value"
"EI","Emissions intensities","032","Argentina","723113","Emissions (CO2eq) (AR5)","21113.01","Meat of pig with the bone, fresh or chilled","2022","2022","kt","1179.5591","E","Estimated value"
